"audit_sha","path","domain","extension","bytes","wc_line_equivalent","sha256","ast_function_nodes","static_relative_imports","missing_relative_imports","missing_specifiers","coverage_instrumented","statement_pct","branch_pct","function_pct","line_pct","direct_test_importer_count","direct_test_importers"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/dental-vision.mjs","providers",".mjs","5857","180","804a2abbeef24cd126a8806184a8a19154f4170f70b3d2435d79c1806b11b071","13","0","0","","true","77.94","60.38","100.00","87.72","1","tests/dental-vision.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/fallback-text-generator.mjs","providers",".mjs","3200","62","5d11a90204afe8f359cedc7d4b8e00295e5271a66da9ef982b4027865217f4ff","10","0","0","","true","95.12","90.00","100.00","96.88","1","tests/fallback-text-generator.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/gemini-computer-use.mjs","providers",".mjs","3860","110","3395ce6157ac7af934952843ff366cdebb22221756d6a6e7c4d6df10ebf218e0","14","0","0","","true","80.56","66.67","92.86","86.67","1","tests/gemini-computer-use.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/gemini-live.mjs","providers",".mjs","15555","316","1166d73cb415ae4e334e2fc27af4e57aba640717dedbdc2e4bb22769599e2a28","26","0","0","","true","89.71","80.00","73.08","93.55","3","tests/gemini-live-contract.test.mjs;tests/gemini-live-resilience.test.mjs;tests/gemini-live.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/gemini-text.mjs","providers",".mjs","2008","45","0e904ddfd9361b77076710464fcd53da6c29081b79bd87d26072bd8acefc493a","8","0","0","","true","80.95","63.16","100.00","86.67","1","tests/gemini-text.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/lm-studio-embedding.mjs","providers",".mjs","2983","80","a199fdb346760f6a43ce5399ed356f78e4d3eaa51e2b8c692792c8bd3aac654a","14","0","0","","true","80.85","65.12","92.86","91.43","1","tests/lm-studio-embedding.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/lm-studio.mjs","providers",".mjs","3537","94","a20c230c8eb45158649f3c498ecbc600b7affc109d364d671a78ebc9f198b7ab","9","0","0","","true","85.42","67.31","88.89","94.87","1","tests/lm-studio-provider.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/local-computer-use.mjs","providers",".mjs","6803","179","4172b4f91b1e08f1faa4fd7c14ef303e27e133e2ba597cc1069a7336fe12b056","10","1","0","","true","68.67","68.48","80.00","75.36","2","tests/integration/local-computer-use.test.mjs;tests/local-computer-use.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/local-embedding.mjs","providers",".mjs","1684","39","8472901d829caac48beb3b25e2de89d8a8e8fc63edb451e242e296c7f91643a4","5","0","0","","true","80.95","86.96","75.00","89.47","1","tests/local-embedding.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/local-ocr.mjs","providers",".mjs","1911","37","f19bcccd84b5743e211a8a44d8abb574f5bc6e35bd42d26bb48f261ca7546455","5","0","0","","true","77.78","84.85","80.00","87.50","1","tests/local-ocr.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/local-stt.mjs","providers",".mjs","1919","57","046b08aface59fb97eb25cb15b236c0fdd5b5e12c26631a859b388615c8882d1","4","1","0","","true","71.43","61.11","75.00","77.78","1","tests/voice-provider-contract.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/local-tts.mjs","providers",".mjs","1871","53","8717188d7a46078d06f0dab0cbc086eee2cc66f04593a7c6334b9ed252027921","4","1","0","","true","71.43","64.29","75.00","77.78","1","tests/voice-provider-contract.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/local-vision.mjs","providers",".mjs","2005","38","e5a4458bdfcbcaae2d4822b8c88f95b9855a716d221cc06423e641e11e3c049d","5","0","0","","true","77.78","88.57","80.00","87.50","1","tests/local-vision.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/openai-compatible-computer-use.mjs","providers",".mjs","14228","338","f9719c222e62fc16c0729434b580a3e8aec47b3a5278ef820c78cc43a4909ba9","16","1","0","","true","78.29","79.14","93.75","84.55","1","tests/openai-compatible-computer-use.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/openai-compatible-text.mjs","providers",".mjs","2445","58","c185c397f0077c874f2586827174b0ea03699a677e52cfd4b7eff07ac0c66396","7","0","0","","true","82.61","83.33","100.00","85.00","1","tests/openai-compatible-text.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/provider-registry.mjs","providers",".mjs","2649","66","e5856741c543b6713cfc57d309e633b247560d639b67211ea157d47de3d8cd16","7","0","0","","true","73.53","78.38","85.71","82.14","4","tests/capability-router.test.mjs;tests/code/code-providers.test.mjs;tests/integration/local-computer-use.test.mjs;tests/provider-registry.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/routed-computer-use.mjs","providers",".mjs","3915","97","0dfed4bc788858f88d4442c3364a19301897874f3e02150d48caa7e5c394f892","11","0","0","","true","85.19","88.89","100.00","86.36","2","tests/integration/local-computer-use.test.mjs;tests/routed-computer-use.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/providers/routed-provider-invoker.mjs","providers",".mjs","4217","114","5b9c9815f60aaabe78297b8ef063d0724c4686aa323690ee06b7fe85cc725adb","6","0","0","","true","86.36","66.67","100.00","92.11","1","tests/provider-usage-integration.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/rag/blind-index.mjs","rag",".mjs","1308","35","9f98ef53a3acba6ced8fc58d7a1cb357341320b0400fc0a49f1f16d283dab7c6","6","1","0","","true","94.44","71.43","100.00","100.00","1","tests/blind-index.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/rag/local-embedder.mjs","rag",".mjs","1790","44","5238c86cc3bfa7f77b83990175afb79337017860f8c80c0445790df306829cfd","6","0","0","","true","62.50","73.08","66.67","60.87","1","tests/local-embedder.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/rag/ranker.mjs","rag",".mjs","1595","29","ce30228b652d445bdccaed8187e11aa783ce4996d7e8fe3dcdc52920c4060971","8","0","0","","true","93.33","78.26","100.00","100.00","1","tests/blind-index.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/rag/retriever.mjs","rag",".mjs","2467","60","a391aa5649044fc197d337c721ab72ed6aefbf3ab031e25f9080b4df92b17380","12","0","0","","true","82.93","75.00","100.00","93.10","1","tests/retriever.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/rag/tokenizer.mjs","rag",".mjs","1179","28","3b58bbaec0f7b62e05e4d3758274bc50d61cad70a08383838dae26ff1e505a18","4","0","0","","true","100.00","88.89","100.00","100.00","1","tests/blind-index.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/rag/vector-store.mjs","rag",".mjs","4814","129","54dfc12f7fc587070df3192b1db99e3cbc6e1e5bd4f9325a71a42e9326e08e46","16","1","0","","true","81.91","68.33","100.00","94.44","1","tests/retriever.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/recovery/recovery-projector.mjs","recovery",".mjs","1245","31","22735b8f02fba055e7540b5a0f67f23cba5135881b4a06e6eb5dc088c89c24e6","2","0","0","","true","100.00","100.00","100.00","100.00","1","tests/recovery-projector.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/recovery/recovery-service.mjs","recovery",".mjs","2866","68","e3b2440437d0df59b3c21339b4182c75aadb43cdb95acad1e2377c6b00f02acf","13","1","0","","true","95.00","87.50","100.00","96.77","2","tests/automation-ui-contract.test.mjs;tests/recovery-service.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/research/file-indexer.mjs","research",".mjs","3370","117","0abe53dd6bead670eb94ccdc475cd5f3246735ba73a3a28d197125fec0f6cb17","11","0","0","","true","79.10","78.79","81.82","82.76","1","tests/file-indexer.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/research/file-policy.mjs","research",".mjs","3049","74","c6b4d2e0aa379e00c0a770b1849e0149216c831089badebf7624284ca97a6610","9","0","0","","true","91.89","87.18","100.00","100.00","3","tests/file-indexer.test.mjs;tests/file-reader.test.mjs;tests/security-invariants.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/research/file-reader.mjs","research",".mjs","4234","104","3b0675efca30463632289b4c9e1366baedf199890467cc0ecf67a82f85d6d05c","4","2","0","","true","82.05","82.22","75.00","90.63","2","tests/file-indexer.test.mjs;tests/file-reader.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/research/network-evidence.mjs","research",".mjs","3601","79","b1cdc603b0278cb786c798a2ac18221f2f0cdf83fe189d1a062e2ba67a4ab1f5","9","0","0","","true","50.00","46.43","66.67","45.45","2","tests/integration/grounded-research.test.mjs;tests/web-reader.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/research/pdf-text-extractor.mjs","research",".mjs","1816","42","41ebda6a1dd4d77926746a6be4a02461dc41390e90a716575b715d7c11b80837","3","0","0","","true","85.29","72.00","100.00","100.00","1","tests/pdf-text-extractor.test.mjs"
"fd5866d2580127142e46b58848da2471488f70c0","src/research/research-service.mjs","research",".mjs","1190","29","e55b413fbcd87d0b4d1fac49828f10b55a59b4d40c7f684d2ed43ac5ed8e1b7c","5","0","0","","true","84.62","70.83","100.00","100.00","1","tests/web-reader.test.mjs"
